Session,SigleCours,DateCours,NoSequence,DateAccesDebut,DateAccesFin,Titre,Description,NbPages,Categorie,NoVersion,DateVersion,HyperLien,AjoutePar
H-2018,420-4W5,2018-01-23,1,2018-01-23,2018-05-29,Présentation du langage PHP,|Qu'est-ce que le PHP ?|Documentation disponible sur le PHP|Avant de commencer|Deux grands types d'application PHP|,2,Théorie,1,2018-01-23,01-1-presentation-langage-PHP.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-23,2,2018-01-23,2018-05-29,Exemple d'application PHP,Le titre dit tout !,9,Exemple,1,2018-01-23,01-2-exemple-application-PHP.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-23,3,2018-01-23,2018-05-29,Quelques éléments du langage PHP,|Types de base|Le type String|Variable en PHP|Les opérateurs|Les structures de contréle|Les fonctions|,6,Théorie,1,2018-01-23,02-quelques-elements-langage-PHP.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-26,1,2018-01-26,2018-05-29,Laboratoire 1 (Présentation),Le titre dit tout !,1,Présentation,1,2018-01-26,03-1-laboratoire01-presentation.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-26,2,2018-01-26,2018-05-29,Laboratoire 1,"Rédaction, puis exécution d'une premiére application PHP",5,Laboratoire,1,2018-01-26,03-2-laboratoire01.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-26,3,2018-01-26,2018-05-29,Laboratoire 2 (Présentation),Le titre dit tout !,1,Présentation,1,2018-01-26,04-1-laboratoire02-presentation.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-26,4,2018-01-26,2018-05-29,Laboratoire 2,Premier contact avec le langage PHP,11,Laboratoire,1,2018-01-26,04-2-laboratoire02.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-30,1,2018-01-30,2018-05-29,Découpage d'une application PHP,|Présentation|Structure générale d'une application PHP|,1,Théorie,1,2018-01-30,05-decoupage-application-php.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-30,2,2018-01-30,2018-05-29,Fonction à paramétres variables,|Présentation|Syntaxe générale et utilisation|Appels possibles|Exemple|,1,Théorie,1,2018-01-30,06-fonction-parametres-variables.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-30,3,2018-01-30,2018-05-29,Laboratoire 3 (Présentation),Le titre dit tout !,2,Présentation,1,2018-01-30,07-1-laboratoire03-presentation.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-01-30,4,2018-01-30,2018-05-29,Laboratoire 3,Création de fichiers librairies + Insertion de code PHP dans une page XHTML,13,Laboratoire,1,2018-01-30,07-2-laboratoire03.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,1,2018-02-02,2018-05-29,Lecture d'un fichier CSV en PHP,|Présentation|Création d'un fichier CSV en utilisant Excel|Lecture et affichage du contenu d'un fichier CSV en PHP|,1,Théorie,1,2018-02-02,08-0-lecture-fichier-CSV.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,2,2018-02-02,2018-05-29,Laboratoire 4 (Présentation),Le titre dit tout !,1,Présentation,1,2018-02-02,08-1-laboratoire04-presentation.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,3,2018-02-02,2018-05-29,"Laboratoire 4",Lecture et affichage du contenu d'un fichier texte,10,Laboratoire,1,2018-02-02,08-2-laboratoire04.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,4,2018-02-02,2018-05-29,"Transmission de données en PHP","|Utilisation de la méthode GET pour transmettre des données d'un formulaire|Utilisation de la méthode POST pour transmettre des données d'un formulaire|Trois collections permettant de récupérer les données transmises|Exemples|",3,Théorie,1,2018-02-02,09-1-transmission-donnees-php.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,5,2018-02-02,2018-05-29,Récupération du contenu d'une boéte de texte,Le titre dit tout !,1,Théorie,1,2018-02-02,09-2-recuperation-boite-texte.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,6,2018-02-02,2018-05-29,Laboratoire 5 (Présentation),Le titre dit tout !,1,Présentation,1,2018-02-02,10-1-laboratoire05-presentation.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-02,7,2018-02-02,2018-05-29,Laboratoire 5,Tranmission de données en PHP,16,Laboratoire,1,2018-02-02,10-2-laboratoire05.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-06,1,2018-02-06,2018-05-29,Exercice 1,Rédaction de fonctions utilitaires,5,Exercice,1,2018-02-06,11-exercice01.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-09,1,2018-02-09,2018-05-29,Exercice 2 ,Petit bottin téléphonique,7,Exercice,1,2018-02-09,12-exercice02.pdf,"Brodeur, Louis"
H-2018,420-4W5,2018-02-16,1,2018-02-16,2018-05-29,Énoncé du projet 1,Version du 26 février 2018; 1,12,Projet,4,2018-02-26,13-1-projet01-2018-02-26-1.pdf,"Brodeur, Louis"
